"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","Should create currency wallet and return SUCCESS response","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldCreateCurrencyWalletAndReturnSuccessResponseTest"
"","5113","Should transfer and return SUCCESS response if currencies the same","","Tue Mar 24 22:50:19 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldTransferAndReturnSuccessResponseIfCurrenciesTheSameTest"
"","111","Should create bank account and return success response if user_id not exists","","Tue Mar 24 22:50:26 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldCreateBankAccountAndReturnSuccessResponseIfUserIdNotExistsTest"
"","3929","Should not create currency wallet and return error if bank_account_id not exists","","Tue Mar 24 22:50:19 UTC 2026","passed","Tue Mar 24 22:50:23 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotCreateCurrencyWalletAndReturnErrorIfBankAccountIdNotExistsTest"
"","131","Should not withdrawal and return error if currency wallet not found","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotWithdrawalAndReturnErrorIfCurrencyWalletNotExistsTest"
"","386","Should not transfer and return error if source currency wallet not have enough money","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotTransferAndReturnErrorIfSourceCurrencyWalletNotHaveEnoughMoneyExistsTest"
"","474","Should transfer and return SUCCESS response if currencies are different","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldTransferAndReturnSuccessResponseIfCurrenciesAreDifferentTest"
"","347","Should not transfer and return error if source currency wallet not exists","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotTransferAndReturnErrorIfSourceCurrencyWalletNotExistsTest"
"","1164","Should not refund multiple times and return error if not enough money for refund","","Tue Mar 24 22:50:24 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotRefundMultipleTimesAndReturnErrorIfNotEnoughMoneyForRefundTest"
"","93","Should not add deposit and return error if currency_wallet_id not exists","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotAddDepositAndReturnErrorIfCurrencyWalletNotExistsTest"
"","560","Should refund multiple times and return SUCCESS response","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldRefundMultipleTimesAndReturnSuccessResponseTest"
"","5343","Should not refund and return error if not enough money for refund","","Tue Mar 24 22:50:19 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotRefundAndReturnErrorIfNotEnoughMoneyForRefundTest"
"","300","Should not create bank account and return error if user_id is already taken","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotCreateBankAccountAndReturnErrorIfUserIdIsAlreadyTakenTest"
"","420","Should withdrawal and return SUCCESS response if currencies the same","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldWithdrawalAndReturnSuccessResponseIfCurrenciesTheSameTest"
"","280","Should not withdrawal and return error if not enough money","","Tue Mar 24 22:50:26 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotWithdrawalAndReturnErrorIfNotEnoughMoneyTest"
"","291","Should not transfer and return error if destination currency wallet not exists","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:26 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldNotTransferAndReturnErrorIfDestinationCurrencyWalletNotExistsTest"
"","5274","Should refund and return SUCCESS response","","Tue Mar 24 22:50:19 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldRefundAndReturnSuccessResponseTest"
"","211","Should add deposit and return SUCCESS response","","Tue Mar 24 22:50:25 UTC 2026","passed","Tue Mar 24 22:50:25 UTC 2026","","Payment service kafka tests","com.arrnel.tests.tests.PaymentKafkaTest","shouldAddDepositAndReturnSuccessResponseTest"
